optype,opset,inputs,outputs,attr1,attr1,attr1,attr2,attr2,attr2,attr3,attr3,attr3,attr4,attr4,attr4,attr5,attr5,attr5,attr6,attr6,attr6,attr7,attr7,attr7,attr8,attr8,attr8,attr9,attr9,attr9,attr10,attr10,attr10
op_type,opset,inputs,outputs,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default
Abs,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abs,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abs,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acos,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acosh,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,6,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Add,1,2,1,axis,int64,,broadcast,int64,0,consumed_inputs,int64,,,,,,,,,,,,,,,,,,,,,,
And,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And,1,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
ArgMax,13,1,1,axis,int64,0,keepdims,int64,1,select_last_index,int64,0,,,,,,,,,,,,,,,,,,,,,
ArgMax,12,1,1,axis,int64,0,keepdims,int64,1,select_last_index,int64,0,,,,,,,,,,,,,,,,,,,,,
ArgMax,11,1,1,axis,int64,0,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ArgMax,1,1,1,axis,int64,0,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ArgMin,13,1,1,axis,int64,0,keepdims,int64,1,select_last_index,int64,0,,,,,,,,,,,,,,,,,,,,,
ArgMin,12,1,1,axis,int64,0,keepdims,int64,1,select_last_index,int64,0,,,,,,,,,,,,,,,,,,,,,
ArgMin,11,1,1,axis,int64,0,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ArgMin,1,1,1,axis,int64,0,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
Asin,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asinh,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atan,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atanh,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AveragePool,11,1,1,auto_pad,str,,ceil_mode,int64,0,count_include_pad,int64,0,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,
AveragePool,10,1,1,auto_pad,str,,ceil_mode,int64,0,count_include_pad,int64,0,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,
AveragePool,7,1,1,auto_pad,str,,count_include_pad,int64,0,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,
AveragePool,1,1,1,auto_pad,str,,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,,,,
BatchNormalization,15,5,3,epsilon,float32,1.00E-05,momentum,float32,0.9,training_mode,int64,0,,,,,,,,,,,,,,,,,,,,,
BatchNormalization,14,5,3,epsilon,float32,1.00E-05,momentum,float32,0.9,training_mode,int64,0,,,,,,,,,,,,,,,,,,,,,
BatchNormalization,9,5,5,epsilon,float32,1.00E-05,momentum,float32,0.9,,,,,,,,,,,,,,,,,,,,,,,,
BatchNormalization,7,5,5,epsilon,float32,1.00E-05,momentum,float32,0.9,spatial,int64,1,,,,,,,,,,,,,,,,,,,,,
BatchNormalization,6,5,5,epsilon,float32,1.00E-05,is_test,int64,0,momentum,float32,0.9,spatial,int64,1,,,,,,,,,,,,,,,,,,
BatchNormalization,1,5,5,consumed_inputs,int64[],,epsilon,float32,1.00E-05,is_test,int64,0,momentum,float32,0.9,spatial,int64,1,,,,,,,,,,,,,,,
BitShift,11,2,1,direction,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast,13,1,1,to,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast,9,1,1,to,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast,6,1,1,to,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast,1,1,1,to,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceil,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceil,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceil,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,12,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,6,1,1,max,float32,3.40E+38,min,float32,-3.40E+38,,,,,,,,,,,,,,,,,,,,,,,,
Clip,1,1,1,consumed_inputs,int64[],,max,float32,,min,float32,,,,,,,,,,,,,,,,,,,,,,
Compress,11,2,1,axis,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compress,9,2,1,axis,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concat,13,inf,1,axis,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concat,11,inf,1,axis,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concat,4,inf,1,axis,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concat,1,inf,1,axis,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConcatFromSequence,11,1,1,axis,int64,,new_axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Constant,13,0,1,sparse_value,,,value,,,value_float,float32,,value_floats,float32[],,value_int,int64,,value_ints,int64[],,value_string,str,,value_strings,str[],,,,,,,
Constant,12,0,1,sparse_value,,,value,,,value_float,float32,,value_floats,float32[],,value_int,int64,,value_ints,int64[],,value_string,str,,value_strings,str[],,,,,,,
Constant,11,0,1,sparse_value,,,value,,,,,,,,,,,,,,,,,,,,,,,,,,
Constant,9,0,1,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constant,1,0,1,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConstantOfShape,9,1,1,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv,11,3,1,auto_pad,str,,dilations,int64[],,group,int64,1,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,
Conv,1,3,1,auto_pad,str,,dilations,int64[],,group,int64,1,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,
ConvInteger,10,4,1,auto_pad,str,,dilations,int64[],,group,int64,1,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,
ConvTranspose,11,3,1,auto_pad,str,,dilations,int64[],,group,int64,1,kernel_shape,int64[],,output_padding,int64[],,output_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,
ConvTranspose,1,3,1,auto_pad,str,,dilations,int64[],,group,int64,1,kernel_shape,int64[],,output_padding,int64[],,output_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,
Cos,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosh,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumSum,14,2,1,exclusive,int64,0,reverse,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
CumSum,11,2,1,exclusive,int64,0,reverse,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
DepthToSpace,13,1,1,blocksize,int64,0,mode,str,DCR,,,,,,,,,,,,,,,,,,,,,,,,
DepthToSpace,11,1,1,blocksize,int64,0,mode,str,DCR,,,,,,,,,,,,,,,,,,,,,,,,
DepthToSpace,1,1,1,blocksize,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DequantizeLinear,13,3,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DequantizeLinear,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Det,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Div,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Div,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Div,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Div,6,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Div,1,2,1,axis,int64,,broadcast,int64,0,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,
Dropout,13,3,2,seed,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,12,3,2,seed,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,10,1,2,ratio,float32,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,7,1,2,ratio,float32,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,6,1,2,is_test,int64,0,ratio,float32,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,1,1,2,consumed_inputs,int64[],,is_test,int64,0,ratio,float32,0.5,,,,,,,,,,,,,,,,,,,,,
Einsum,12,inf,1,equation,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elu,6,1,1,alpha,float32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elu,1,1,1,alpha,float32,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,
Equal,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal,1,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Erf,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erf,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exp,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exp,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exp,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expand,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expand,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EyeLike,9,1,1,dtype,int64,,k,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Flatten,13,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flatten,11,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flatten,9,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flatten,1,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRU,14,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,foward,hidden_size,int64,,layout,int64,0,linear_before_reset,int64,0,,,,,,
GRU,7,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,foward,hidden_size,int64,,linear_before_reset,int64,0,,,,,,,,,
GRU,3,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,foward,hidden_size,int64,,linear_before_reset,int64,0,output_sequence,int64,0,,,,,,
